query_id,answer
36,4219 4387 2646 4384 1958 2865 4400 1966 4395 4504
37,4219 4400 4387 2865 4403 2646 1966 4384 4358 4234
38,4219 4384 4440 1966 2646 2865 4400 4387 1958 4361
39,1951 4234 3467 4214 2698 4286 4396 4328 4308 2551
40,4219 2646 4234 4400 4361 4308 4384 4440 1966 2865
41,4234 4361 2646 4214 4406 1958 4308 4396 4362 1951
42,4219 4387 2646 1958 4400 4308 4384 4234 2865 4361
43,4234 4403 4219 4308 4361 2646 4396 4328 2698 1909
44,4219 2646 1966 2865 4400 4384 2696 4361 1958 4406
45,4219 4384 2646 2865 1966 4387 4361 4400 1958 2696
46,2665 4214 2698 1951 4234 4308 4328 3553 4398 4361
47,4234 2646 1951 4219 4361 4214 4384 4308 4406 4286
48,4219 4384 1966 2646 4387 4440 2865 4400 4395 1958
49,4219 2646 4308 4400 4387 1907 4403 4358 4234 4408
50,1951 4234 3467 4214 4308 4328 4286 4396 4361 4320
51,4219 2646 4395 4214 4424 4308 2665 4234 4387 1951
52,4395 4214 4424 2646 4219 4308 4384 4234 2698 4361
53,4361 4219 4387 2646 4308 4400 4403 4234 1958 4384
54,4521 4395 4214 4234 4400 3478 3992 4529 2698 4177
55,1951 4214 4308 3467 4219 2646 4234 4286 2665 4320
56,4403 4308 4400 4361 4387 4234 1909 4328 4358 4219
57,3028 4423 2908 2904 4372 4364 4234 2937 4400 2920
58,4219 2646 4384 1966 4389 4440 2865 4308 3077 4234
59,4219 2646 2865 1966 4400 4384 1958 4387 4361 4508
60,4219 2646 1966 4400 4384 2865 4403 2696 4387 4234
61,4219 2646 4389 4308 4384 4440 4234 4396 4361 2943
62,4219 4400 2865 2646 4384 4234 2964 1966 4286 2831
63,4400 4387 4219 4234 1958 4451 4308 4361 4384 2646
64,4234 1909 1907 4400 4308 4328 4387 4396 4286 4403
65,4440 4307 3128 2886 3254 2222 2695 2663 2948 2894
66,4440 2663 4276 2886 3779 2894 2888 4134 4266 4286
67,4384 4361 4219 1966 2646 4440 2865 4234 4313 4214
68,4440 3595 2204 4008 3932 4307 4205 2219 2663 2222
69,2646 4361 4219 4400 1966 4234 2865 4384 4403 4331
70,4234 4396 1909 4328 4286 1907 4308 1951 4214 1958
71,4214 1951 4234 4384 4219 4308 2646 4361 2698 2665
72,2698 4234 4214 4361 4362 4308 1951 3467 1909 4153
73,4440 4389 4219 4395 2894 2886 2646 2220 4424 2968
74,4219 2646 1966 4400 2865 4384 2696 4361 4387 4234
75,4219 2646 4361 4308 4384 4234 1966 4286 2865 4214
76,4234 1951 4214 2698 4328 4396 4362 3467 4361 4286
77,4308 4396 4234 1899 4328 1901 1951 2646 4361 4219
78,4328 4234 1909 4396 4308 1951 4286 4387 4440 4361
79,4219 4384 1966 2865 2646 4400 4387 2696 4361 1958
80,3861 4219 4214 4320 4437 1951 4395 4234 4308 2405
81,4219 4400 1966 2646 2865 4384 4361 2696 4234 4387
82,4400 4219 4308 4234 2646 4403 4387 1899 1909 2865
83,4234 4361 1909 4387 4396 4400 4308 2646 1951 4214
84,4234 4400 1966 2865 2646 4384 4219 3006 4361 4451
85,2646 2962 4219 4400 4396 4234 4397 1907 4403 4308
86,1951 4234 3467 2698 4361 1958 4308 4214 4286 4387
87,4361 2646 4234 2865 1966 4219 1951 4400 4308 4384
88,1951 4234 3467 2698 4214 4400 4286 1901 4328 2646
89,1951 4234 3467 4328 2698 4286 4219 4214 4320 2220
90,4219 2646 2865 1966 4400 4384 2696 4361 4387 3470
91,2646 4234 4214 4219 1951 4308 2665 4286 4396 2943
92,4234 4214 1951 4396 4362 4286 2698 4328 4384 1909
93,4219 4387 4384 4400 1958 2865 2646 2696 1966 3400
94,3147 3006 3260 3431 4419 4384 4411 2062 2071 3261
95,1951 3467 4328 4214 4308 4286 4396 4234 1907 4532
96,1958 4387 1909 4400 4234 2865 1966 4384 4403 4219
97,1966 4403 2646 1958 4400 2865 4234 4219 4387 4361
98,1951 4234 4214 4328 2698 4286 4396 4308 3467 1909
99,4219 1958 4387 4234 4400 4361 2865 2646 1909 1966
100,4328 4286 4396 4234 1909 1951 1907 4214 4308 3467
101,4219 4400 2865 1966 2646 4384 4234 4387 2831 4361
102,4451 4214 2698 4219 4361 3995 4395 4308 1951 4209
103,4219 2646 4214 4234 4308 4400 4384 4396 2865 4389
104,4219 4384 4400 2865 2646 1966 4440 4387 4389 1958
105,4219 2646 4384 4440 4308 1966 4400 4234 3077 4328
106,4219 2646 4234 4361 4308 4400 2831 4384 4214 2521
107,1909 4328 4234 4308 4286 4396 1918 4384 1958 4219
108,1951 4219 4308 4234 2646 4214 4328 4400 4396 4395
109,4361 2646 4219 1966 4308 4384 2865 4400 4234 4395
110,4219 4308 2646 4400 4234 4328 4408 2191 2865 4384
111,4219 4308 2646 4361 2865 4234 4384 4387 4389 4233
112,4219 4400 4384 2865 4389 2646 1966 4440 4387 1958
113,1951 4234 4214 2646 2698 1909 2665 2865 4396 4308
114,4219 4395 2646 4214 4389 4384 4400 4440 4387 2865
115,4395 4454 4424 4526 1842 4214 4523 1909 4528 4234
116,4219 2646 4308 4400 4389 4384 4214 4395 4234 4009
117,1909 4234 4396 4286 4328 4387 4403 1958 1907 1901
118,4440 2646 4219 4384 4389 4395 4308 2865 3077 3565
119,4219 2646 4384 4308 4234 1951 1966 4214 4395 4328
120,4219 4384 2646 4440 2943 4361 1966 3470 2865 4389
121,4219 4440 4384 2865 2646 1966 4387 4400 4389 4361
122,4451 2698 4214 4234 4286 4219 1951 2665 3478 4328
123,4219 2646 4361 4400 1966 4384 4234 2865 4308 4440
124,1909 4234 4400 4328 4308 4396 4286 1907 4408 1918
125,4219 4440 4384 4387 2646 1958 2865 4389 1966 4395
126,4234 4328 1951 4396 1909 4308 4361 1907 3467 2646
127,4361 4384 4219 2646 4234 4308 2865 1966 4400 4214
128,4219 4400 2646 2865 4384 1966 2831 4361 4234 4387
129,4308 4219 4400 4403 4234 2646 4408 4361 4328 1960
130,4219 4234 4361 2646 1951 4384 4308 4400 2865 4214
131,4440 4384 2894 2886 2696 4219 2646 2288 2915 2895
132,4396 3261 2062 4286 4234 4110 3132 4411 4361 4283
133,4234 4308 2698 1951 4403 4361 4214 1958 4387 2646
134,4328 4234 1909 4308 4396 3467 3889 4403 1910 1951
135,4219 4387 2646 1958 4384 4400 2865 1966 2696 4361
136,4219 1966 2646 4384 4400 3470 2865 2696 4234 2886
137,4219 4308 4234 4403 4396 2646 4361 1909 4214 4328
138,3147 4109 2857 2060 4205 3150 3151 3261 4404 4219
139,4219 2646 4308 1951 4234 4214 4396 4328 4400 1899
140,4219 2646 4395 2865 4214 4389 4384 1966 3026 2696
141,4387 1909 4403 4328 4234 4308 4219 4396 4400 2831
142,4219 2865 2646 1966 4400 4384 4387 1958 4361 2696
143,1951 4308 4234 4219 4320 4214 4400 2646 4328 2865
144,4219 4389 2646 4361 4308 4234 4440 4396 4384 1909
145,2698 4234 1951 4214 4286 4328 4362 4396 1909 2646
146,4361 4219 4234 1958 4387 4286 4400 2646 2865 1951
147,4219 2646 4384 4387 1966 4440 4361 2865 1958 4400
148,4219 2646 2865 1966 4384 4361 4400 4234 2696 4406
149,4219 4400 2646 1966 2865 4361 4384 4387 1958 4234
150,2038 3400 4234 4445 2049 4283 3563 4229 4219 3593
151,2646 4219 4400 1966 2865 4403 4384 4234 4361 4387
152,4219 4361 2646 1966 4387 4384 2865 4308 1958 2943
153,1907 4328 1909 4396 4234 4308 4286 3467 1951 4214
154,4328 4396 1909 4286 1907 4234 4308 3467 4403 3436
155,4403 4400 4234 2646 4219 4308 4387 1966 4361 2408
156,4219 2865 2646 4400 4384 1966 4234 4308 2696 4387
157,4219 1966 4400 4384 2865 2646 4440 2696 4308 4387
158,1951 4214 2698 4234 2665 4286 4308 1909 2865 3265
159,4219 2646 1966 4384 2865 4400 1958 4361 4234 2866
160,1909 4328 4234 4396 4286 1958 4361 1918 1907 4308
161,2665 4214 2698 4398 3553 4234 4361 4396 1951 4308
162,4219 4384 2865 4234 4400 2646 4361 1966 4387 1951
163,1951 4286 4234 4214 2698 4328 4308 4396 3467 2646
164,2646 1966 4400 2865 4234 4219 3006 4361 4384 4440
165,2646 4219 1966 4384 2865 4440 3470 4234 3078 4389
166,4234 4308 4362 3467 4214 2698 1951 1909 4451 2196
167,4219 4400 2865 2646 4384 1966 4387 4234 4308 2696
168,4234 1951 4387 4286 1958 4403 2646 2698 4361 4308
169,4219 4400 2646 1966 2865 4384 4234 2696 4361 4403
170,4387 1958 4219 4400 4384 4361 2646 2865 1966 4234
171,4219 2646 4440 4384 4234 1966 4361 4395 4389 2865
172,4219 2646 4389 4308 4440 4384 4395 4234 4387 2865
173,4440 2646 2696 4219 2886 2865 2196 4389 2157 3128
174,1907 1909 4396 4234 4403 4308 2831 4387 4286 4328
175,4451 4214 2698 4440 4276 2450 3478 4308 4328 4234
176,4219 2646 4440 4384 4389 2865 4387 4308 4400 4361
177,1951 4214 4219 4400 4308 2646 4234 4396 4328 4395
178,1951 3467 4320 2698 4234 4308 4286 4214 4219 4328
179,4423 3028 4364 4232 4372 4318 4220 2914 3536 4308
180,4389 4219 2646 4308 4234 1909 4396 4387 3565 4214
181,4219 2646 3565 4389 4440 4308 4384 1951 4234 4387
182,4219 1909 2646 4234 4387 4308 4286 4389 1958 4440
183,1951 4234 4214 4286 3467 4320 3861 4328 2698 4308
184,4219 2646 2865 1966 4400 4361 4384 3844 4406 2696
185,1951 4214 4308 4234 4320 2646 2698 4219 4286 3469
186,3254 4440 4389 2646 2886 4219 2923 2894 4307 2222
187,4219 4400 2831 4384 2865 2646 1966 4403 4234 4308
188,4219 4234 4400 2865 2646 4387 4361 1966 4308 4384
189,4219 4400 2865 1966 4387 2646 4384 4234 4361 4403
190,3580 4204 1951 4361 4395 2095 3467 3579 4276 4384
191,1951 4214 4234 3467 4532 2698 4328 2665 4308 3128
192,4396 4286 4328 1909 4387 4234 1907 2646 4219 4308
193,4403 2646 1966 1958 4400 4387 4234 2865 4219 4361
194,1951 3467 4234 4328 4286 4308 4396 1907 4320 4532
195,4395 4219 4214 2646 4424 4308 4389 4234 4400 3026
196,4219 4387 4384 2646 2865 4400 1958 4361 4532 1966
197,4219 2646 4389 4384 4214 3565 4361 4308 4395 4396
198,1951 4214 4234 4384 3128 2698 4219 4308 3467 2899
199,4219 4361 4384 2865 4234 2646 4406 4387 2696 3844
200,4219 1966 4400 2646 2865 2696 4384 4440 2866 3470
201,4400 2865 4219 1958 4387 4384 2646 2204 3932 2696
202,4219 2646 4308 4389 4384 4440 4214 1951 4387 3565
203,4219 2646 4384 1966 4440 4387 4400 2865 2696 1958
204,4234 1909 4328 4396 4308 4286 1958 1951 4387 3265
205,4361 4234 2646 4214 2943 4384 4219 4308 3149 2698
206,4308 4234 2646 4403 4219 4400 4361 2698 1951 4387
207,4219 2646 4214 4395 4424 3026 4389 4234 2665 4308
208,4387 4219 1958 2865 1909 2646 4400 4384 1966 4361
209,1951 4361 4234 4214 2646 4308 4331 4219 2865 4400
210,4234 4400 2865 4219 1909 4361 4328 2646 4384 4308
211,4219 2646 1966 4400 4384 2865 4361 4387 4234 1958
212,4328 4234 4286 4214 1951 2665 4308 2698 4396 1909
213,4219 4440 4384 2646 3565 1966 4389 2865 4308 4234
214,4219 4395 2646 4400 1966 4384 4234 4214 2865 3567
215,4234 4328 1909 4219 4396 4403 4308 4400 4361 1907
216,4440 4451 4234 4433 4396 4214 1951 3862 2663 2222
217,4214 4219 2646 2698 4451 4308 4460 4234 4366 4400
218,4219 4403 2646 4440 4361 4384 4387 2521 4389 4232
219,4308 2646 4219 4400 4389 4384 4307 4396 4328 4234
220,4440 4389 3254 2220 4395 4219 4207 3128 4276 2222
221,4219 3565 2646 4389 4440 4308 4384 4387 4396 4386
222,1951 4396 4286 4234 4214 3467 4328 2698 1907 1909
223,4219 2646 1951 4308 4234 4384 4523 4389 4440 4328
224,4400 4219 1966 2865 4308 4387 4384 4234 2646 4328
225,4309 4234 4361 2646 3169 4219 4328 4307 4371 4308
226,4234 2204 2908 3932 4445 4328 4440 4209 4307 3467
227,4328 4396 1907 1909 4286 4234 3467 3436 4308 1951
228,4219 2865 2646 1966 4400 4384 4361 2696 2831 4234
229,4219 4387 4384 1958 1966 2646 2865 4400 4361 4234
230,4219 4387 4400 1958 2865 4384 2646 2696 4234 4361
231,4234 4403 4308 1909 4396 4286 4387 4328 4400 1951
232,4219 4387 4384 4400 1958 2646 2865 4234 3168 1966
233,1951 4234 4307 4214 4532 3563 2698 3128 3359 4112
234,4308 4234 4387 4219 2698 1951 4361 4214 4403 4384
235,4219 4387 4384 2646 2865 4361 4400 1966 1958 4403
236,4219 4400 2646 1966 4361 2865 4387 4403 4384 4234
237,1909 4396 3265 4328 4234 4361 2646 4214 4219 1951
238,1909 4328 4234 4396 4286 4400 3265 4308 1951 4133
239,4364 4423 3737 4232 4307 3931 4239 4318 3661 2914
240,4328 4286 4396 1907 4234 3436 1909 4308 1951 4400
241,4328 4234 4308 1907 4396 1909 4219 1951 3467 4286
242,4234 4328 4308 4219 3467 4396 4214 4403 1951 4361
243,4361 3844 4406 4219 4384 4234 4400 2865 2646 3972
244,1951 4214 3467 4234 4320 2698 4308 4219 1909 4361
245,4219 4387 2646 2865 4384 1958 4400 4361 1966 4389
246,4219 2865 4400 1966 2646 4384 2696 4387 2831 4234
247,4219 2646 4361 2865 4384 4387 2943 2037 4234 1966
248,2886 4440 2663 2894 2041 4506 2968 4451 2047 4308
249,4219 4384 1966 2646 2865 4400 4361 3470 4387 4440
250,1951 4308 4214 4234 4219 2698 1899 2646 3467 4286
251,4219 4400 4384 2865 4387 4308 2646 1966 2696 4328
252,4440 3254 2894 2886 2646 4389 4214 2698 4219 4361
253,4328 1909 4234 4396 4308 4286 4214 3265 1958 1951
254,1951 4234 4214 2865 3168 4328 3467 4361 2665 4219
255,1909 4400 2663 4329 1918 4328 4234 2794 1836 4219
256,4219 2646 1966 2865 4400 4384 4387 2696 4361 4403
257,4328 3889 4286 4234 4523 1909 4369 4505 2928 4351
258,4234 4308 2665 4214 4361 1909 4424 4328 4395 2646
259,4219 4400 4384 2646 2865 1966 4234 4308 4387 4403
260,1951 3467 4234 2698 4320 4214 4328 4286 1909 4308
261,4219 4400 4387 4384 2865 1966 2646 4403 1958 4234
262,4286 4396 1909 4234 1907 4403 1951 2646 4308 4361
263,4518 4224 4530 4328 4162 3993 3858 2887 4134 3595
264,4309 4328 1889 3790 2674 1909 2032 2214 4234 4523
265,4219 2646 4384 4387 1966 4440 2865 4400 2696 1958
266,4214 2698 4451 4308 4234 3995 1951 1909 4400 4366
267,4400 4219 4387 2865 1966 4403 2646 4308 4384 4234
268,4234 4328 1909 4286 4308 4396 1958 1951 1907 2646
269,2698 4214 4451 4308 4361 4400 4219 4234 2646 4366
270,4234 2646 4361 4389 4403 1909 4400 1951 1907 4218
271,4396 1909 4328 4234 1907 4286 4308 1958 3467 4400
272,4219 2646 2865 4400 4384 4387 1958 1966 4361 4234
273,1951 3467 4234 4308 4320 4532 4328 4214 4396 2665
274,4328 4396 1909 4308 4234 1958 4286 4361 4219 4433
275,4219 2646 4384 4361 2865 4440 4234 1909 3077 4308
276,4219 4400 4387 2646 2865 4384 1958 1966 4361 2696
277,4451 4214 2698 4307 4008 4234 4219 4440 2405 4361
278,4328 4396 1907 4286 4234 4308 1909 3467 1951 2511
279,4396 4328 1907 4286 1909 4234 3467 4403 4361 1958
280,4219 4234 4361 1966 4396 2646 4403 4328 4384 1909
281,4440 4219 2646 4308 4389 4361 1951 2943 4214 4307
282,4219 2646 4384 4308 4361 4234 1966 4400 2865 4440
283,4234 4328 4214 4308 1951 1909 4219 4286 4446 2646
284,4440 2222 4389 4015 2204 3932 2895 4214 4287 4395
285,4214 4308 2698 4234 4219 3995 4307 2665 1951 1909
286,4328 4234 1909 4396 1907 4308 4286 4400 1951 2646
287,1951 4224 4328 4234 4286 4256 4400 4219 3734 1909
288,2646 2962 4219 4397 4214 1951 4396 3128 4308 1907
289,2646 4219 4308 4387 4234 4400 2943 1909 4384 2865
290,4234 4219 4308 1951 4387 2646 4286 4362 4384 4403
291,4219 1966 4387 4400 2646 1958 2865 4384 4403 2408
292,4361 4400 2865 2646 4219 4403 4387 4384 4234 1966
293,4219 2646 4389 4384 4308 4440 1966 4214 4234 2222
294,4219 2646 4395 4387 1966 4389 4424 4384 4214 2865
295,4219 4400 1966 2865 2646 4384 4387 2696 4403 4234
296,1951 4214 4308 4219 4234 2646 4320 2665 4328 2698
297,4308 4234 4396 4219 2646 4361 1951 4328 1909 4214
298,4219 2865 4361 4400 4384 1966 3844 2646 2696 4406
299,4219 4361 1966 4384 2865 2037 2943 4400 4234 3748
300,4308 4387 4219 1909 4408 4234 4396 4214 2646 1951
301,4219 2646 4440 4331 4234 4308 4384 4214 2865 4400
302,4307 4440 2222 3254 4134 2155 4112 4374 2886 3128
303,4234 4328 4308 1909 4286 4396 4400 4361 4219 2865
304,4219 2646 4234 2267 4214 4456 4361 3015 4528 4308
305,2698 4234 4214 4286 4396 4328 4362 4451 1951 3265
306,4328 4234 4219 2646 4361 4308 1951 4286 1909 4396
307,4307 3784 4328 2794 4361 4384 4374 1909 4396 2663
308,1951 4234 3467 4286 4214 2698 4328 4308 4320 4396
309,4440 2220 2894 2238 2663 2886 4214 3588 2203 2157
310,1951 4234 4214 4286 2646 4396 4328 2948 2665 2251
311,2646 4219 4400 1966 2865 4384 4387 4234 4361 2866
312,4234 4214 4396 2698 1951 4451 4308 4328 4361 4400
313,1951 4234 4214 4219 4308 3467 2698 4362 4045 4396
314,4308 1909 4234 4396 4328 4400 4214 1907 4286 1951
315,1951 4234 4219 4214 4308 2646 3467 4451 4320 4286
316,4400 4219 4308 4403 1966 4387 4234 2646 1907 4358
317,1909 4234 4328 4308 4396 4286 4400 1907 1958 1901
318,2646 4219 1966 4387 2865 4384 4400 4389 3567 4308
319,4234 4328 1951 4286 3467 1909 4396 4219 2698 4308
320,4384 4219 4361 2865 1966 2646 4308 4233 4313 2698
321,4328 4396 1909 4234 4286 1907 3467 4308 1918 4361
322,1909 4400 3843 4234 4384 4308 4440 4219 1958 3930
323,4400 4219 2646 1966 4384 4234 2865 2831 4308 4403
324,4219 1958 4387 2865 4400 1966 2646 4384 4361 4234
325,4400 4219 1966 4384 4387 2646 2831 4308 4234 2865
326,4328 4286 4396 1909 4308 4234 3436 3467 1951 1907
327,4219 2646 4361 4384 4308 4387 4234 2943 4389 4331
328,4009 1909 2646 3843 4387 4234 4219 4308 3051 4328
329,4219 4400 4387 1966 2865 4308 2646 4384 4403 1909
330,1951 4214 2646 4308 4219 2665 4234 2698 4395 4384
331,2646 4219 4384 4389 4308 4440 1951 3077 4395 2865
332,4214 2698 1951 4451 4219 4308 4234 2646 1909 4366
333,1951 4308 4214 4234 2698 2232 4328 1899 3467 4219
334,4214 2698 4451 4308 1951 4219 2665 4400 4234 4366
335,1951 1899 4214 4396 4286 4234 1901 4308 3128 3467
336,4328 4234 1909 4396 4308 4387 1951 4214 4286 2646
337,4234 4361 4219 1909 2646 4308 4400 4387 4384 4396
338,4308 4219 4234 4214 1951 4395 2698 2646 4400 4218
339,4214 2698 4308 4451 1951 4234 4219 4361 2665 4446
340,4224 2696 4218 4234 3863 4451 3853 4375 2693 1907
341,4219 4387 4384 2646 1966 2865 4440 4400 1958 4389
342,4361 4234 3781 4371 4045 4396 4307 4328 4133 4430
343,4219 2646 4214 4234 4440 4384 4395 4308 1951 3843
344,4234 4219 4308 2646 1951 4361 4328 4396 4286 4214
345,4219 2646 4361 4440 2865 1958 1966 4400 4389 4308
346,4445 2253 4291 4234 3641 4232 4219 4432 1958 4387
347,4219 1958 4387 4400 2865 2646 4361 4384 1966 4403
348,4219 4395 4440 4384 4214 4389 2646 4387 4308 1958
349,4219 4361 2646 4384 1966 2865 2943 4234 3169 3470
350,4219 2646 2865 1966 4400 4384 2696 4387 3470 4361
351,4400 4387 2646 4361 4234 4219 4403 1966 4308 2865
352,4214 2698 4308 4451 4400 4219 1951 4234 4328 2865
353,3147 2062 4110 4109 3261 2060 2857 3150 4205 4411
354,1909 4396 4308 4234 4286 4328 1899 1901 4214 2244
355,4219 2646 2962 4387 4397 4440 4384 4389 4400 4395
356,4234 4328 1909 4286 4396 4503 1958 1951 4387 3467
357,4219 4234 2646 4328 4403 4361 1909 4308 1951 4400
358,4234 2646 1909 4361 1958 4387 4400 4219 4308 4214
359,4219 4400 1966 2646 2865 4384 4234 1909 4403 4387
360,1951 4214 2698 4234 4320 4328 3265 4308 1901 3467
361,2665 4214 1909 2698 4328 4395 1958 4396 4308 4234
362,4361 4400 4384 4234 4308 2865 1951 1958 4219 4214
363,4219 2865 1966 4384 4400 4361 2646 4387 3567 3088
364,4328 1907 1909 4234 4396 4286 4308 1951 4361 4400
365,4440 2663 4451 3932 4307 2204 3151 3780 3149 4248
366,4400 4361 4219 4387 2865 4234 4403 4308 2646 1966
367,4384 4219 1966 4440 3470 4361 4313 2646 2865 3077
368,4234 2698 4214 1951 4308 4361 1909 2646 4219 4403
369,4328 4234 1909 4308 4396 1951 4286 1958 1910 2646
370,4234 1951 4286 2646 4403 4532 3467 4045 4308 4214
371,4445 4451 4209 4178 3128 4307 2695 1951 4234 3643
372,4396 4234 1909 4400 4328 1958 4219 4308 4361 2646
373,4234 4308 4214 2665 1951 4424 2646 4219 1909 4395
374,4219 2646 4400 4234 4308 2865 1966 4214 4403 1951
375,1951 3467 4234 4361 2646 4214 4308 4219 4320 2698
376,4219 2646 1966 2865 4400 4384 1958 4387 2696 3470
377,4219 2646 4234 4400 2831 2865 4308 4403 1951 4384
378,1951 4234 4308 3467 4214 1909 4328 4286 2665 4396
379,2865 4219 4384 4440 2646 4214 4400 1966 4361 4387
380,4219 2646 4400 4361 2865 4403 1966 4384 4387 4234
381,4219 4400 4361 2646 2865 1966 4384 2037 4308 4234
382,1909 4286 4396 4328 3419 1907 4234 4219 4400 4308
383,3862 4433 4551 2202 4440 2928 2201 4242 4243 4318
384,4234 3467 1951 4361 1909 4214 4308 2665 4286 4219
385,1951 4219 3467 4234 4308 4214 2646 4389 2865 1966
386,4384 4219 1966 2865 4400 2646 4440 2696 4387 4361
387,1951 3467 4214 4234 4308 2698 4320 4396 4219 4328
388,2646 4219 4361 4389 4308 4384 2943 4440 4234 2865
389,4234 1951 2646 4308 2698 4400 4214 4219 3467 4403
390,4318 4347 4371 4364 4328 4401 1958 4445 4387 1909
391,4396 4234 4361 4328 1909 4308 4286 1951 4403 1907
392,4328 4234 1909 4308 4286 4396 1951 4361 1907 1958
393,4219 2646 1951 4214 4234 4308 4396 4440 4408 4384
394,1951 2948 3467 2911 4234 4214 4308 4438 4328 4286
395,4440 4395 4276 2220 4307 4207 4389 2095 4219 4373
396,4219 4389 2646 4214 4384 4307 4395 4205 4308 4396
397,1951 4214 4361 4234 2698 4308 4219 4387 2646 2665
398,4395 4361 4424 1909 4234 4528 2646 4454 4219 4286
399,4219 4400 2865 1966 4384 2646 2696 4361 2866 4387
400,4219 4395 2646 4214 4389 4384 3026 4424 4440 4400
401,4400 4219 4387 4403 1966 4234 2831 2865 4532 2646
402,4214 4451 2698 4227 2665 4290 4447 3478 1951 4395
403,4219 2865 2646 1966 4384 4406 3844 4400 2696 4361
404,4219 1966 4384 4400 2865 2646 3567 2696 3470 4361
405,4234 3467 4286 1909 4328 4396 4308 1951 4403 2646
406,4219 4387 4400 2865 4384 2646 1966 2696 1958 4308
407,4328 4286 4396 4234 1909 4214 1899 3436 4308 1951
408,4361 4234 1958 1909 4219 2646 4387 1966 4328 4384
409,1909 4234 4396 4286 4328 4387 4403 1958 1907 1901
410,4234 4308 4219 4403 4361 2698 1909 1907 4400 3467
411,4387 4400 4361 4403 4308 4234 2646 4009 4219 2511
412,4219 4395 2646 4214 4389 4384 4308 1951 4424 3026
413,4328 1909 4308 4234 4396 1958 1910 4286 4400 3889
414,4440 2794 4214 2663 4234 4328 3254 4307 4372 2886
415,1951 4234 1909 4308 4328 4396 4214 4286 4219 3467
416,4219 2646 1966 2865 4384 4400 4387 4440 1958 4361
417,3147 4451 4214 4411 2698 3008 3260 2062 4219 1951
418,1909 4234 4328 1951 4286 4396 4308 1907 4387 3467
419,4219 4400 4384 3078 3470 4308 4387 2865 1966 2646
420,4219 4384 2646 4440 1966 4361 2865 4387 4395 4234
421,4219 4400 1966 2646 2865 4384 4234 2696 4387 4308
422,4308 4234 1951 1909 2646 4328 4219 4400 1958 4396
423,4219 4440 2646 4384 4389 1966 2865 4400 4397 4387
424,4361 4219 4400 1958 4234 2865 2646 4308 4387 1966
425,1951 4214 2698 4234 2646 4328 3467 2943 4308 1901
426,4219 4387 2646 4384 4440 1958 4389 2962 2865 4400
427,1951 4217 4234 4214 3592 4286 2698 4328 3467 4319
428,4234 4308 4214 4328 2646 2665 1951 4424 4361 4400
429,1951 3467 4234 1907 4328 4396 4214 4308 4286 2698
430,4219 4387 4400 2865 2646 1966 1958 4308 4384 4234
431,4219 2865 1966 2646 4384 4400 2696 4361 3844 4406
432,1951 4234 4214 4308 4219 4400 2698 3467 1909 4387
433,1951 4234 4219 4214 4328 2698 2646 1909 4403 4396
434,1909 4387 4219 1907 4396 4308 2646 4009 2962 4400
435,4219 2646 4400 4234 2865 4361 4403 4308 4532 4384
436,4308 4400 4234 4219 4408 4396 4387 4403 1909 2646
437,4219 2646 2865 1966 4308 4387 4384 2962 4234 4214
